i;ID_QR;ID_xls;CHACRA_ID_QR;CANAL;LOTE;CHACRA;SUPERFICIE;ID_CAMPAÑA;ACTIVIDAD
941;Chacra Vieja3 11;Chacra Vieja 3 11;Chacra Vieja;3;11;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
942;Chacra Vieja3 12;Chacra Vieja 3 12;Chacra Vieja;3;12;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
943;Chacra Vieja3 13;Chacra Vieja 3 13;Chacra Vieja;3;13;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
944;Chacra Vieja3 14;Chacra Vieja 3 14;Chacra Vieja;3;14;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
945;Chacra Vieja3 15;Chacra Vieja 3 15;Chacra Vieja;3;15;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
946;Chacra Vieja3 16;Chacra Vieja 3 16;Chacra Vieja;3;16;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
947;Chacra Vieja3 17;Chacra Vieja 3 17;Chacra Vieja;3;17;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
948;Chacra Vieja3 18;Chacra Vieja 3 18;Chacra Vieja;3;18;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
949;Chacra Vieja3 19;Chacra Vieja 3 19;Chacra Vieja;3;19;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
950;Chacra Vieja3 20;Chacra Vieja 3 20;Chacra Vieja;3;20;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
951;Chacra Vieja3 21;Chacra Vieja 3 21;Chacra Vieja;3;21;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
952;Chacra Vieja3 22;Chacra Vieja 3 22;Chacra Vieja;3;22;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
953;Chacra Vieja3 23;Chacra Vieja 3 23;Chacra Vieja;3;23;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
954;Chacra Vieja3 24;Chacra Vieja 3 24;Chacra Vieja;3;24;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
955;Chacra Vieja3 25;Chacra Vieja 3 25;Chacra Vieja;3;25;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
956;Chacra Vieja3 26;Chacra Vieja 3 26;Chacra Vieja;3;26;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
957;Chacra Vieja3 27;Chacra Vieja 3 27;Chacra Vieja;3;27;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
958;Chacra Vieja3 28;Chacra Vieja 3 28;Chacra Vieja;3;28;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
959;Chacra Vieja3 29;Chacra Vieja 3 29;Chacra Vieja;3;29;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
960;Chacra Vieja3 30;Chacra Vieja 3 30;Chacra Vieja;3;30;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
961;Chacra Vieja3 31;Chacra Vieja 3 31;Chacra Vieja;3;31;Vieja;1,2;CHACRA VIEJA 3;P. MANT.
962;Chacra Vieja3 32;Chacra Vieja 3 32;Chacra Vieja;3;32;Vieja;1,1;CHACRA VIEJA 3;P. MANT.
963;Chacra Vieja4 1;Chacra Vieja 4 1;Chacra Vieja;4;1;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
964;Chacra Vieja4 2;Chacra Vieja 4 2;Chacra Vieja;4;2;Vieja;1;CHACRA VIEJA 5;P. MANT.
965;Chacra Vieja4 3;Chacra Vieja 4 3;Chacra Vieja;4;3;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
966;Chacra Vieja4 4;Chacra Vieja 4 4;Chacra Vieja;4;4;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
967;Chacra Vieja4 5;Chacra Vieja 4 5;Chacra Vieja;4;5;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
968;Chacra Vieja4 6;Chacra Vieja 4 6;Chacra Vieja;4;6;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
969;Chacra Vieja4 7;Chacra Vieja 4 7;Chacra Vieja;4;7;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
970;Chacra Vieja4 8;Chacra Vieja 4 8;Chacra Vieja;4;8;Vieja;1,2;CHACRA VIEJA 5;P. MANT.
971;Chacra Vieja4 9;Chacra Vieja 4 9;Chacra Vieja;4;9;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
972;Chacra Vieja4 10;Chacra Vieja 4 10;Chacra Vieja;4;10;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
973;Chacra Vieja4 11;Chacra Vieja 4 11;Chacra Vieja;4;11;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
974;Chacra Vieja4 12;Chacra Vieja 4 12;Chacra Vieja;4;12;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
975;Chacra Vieja5 1;Chacra Vieja 5 1;Chacra Vieja;5;1;Vieja;1;CHACRA VIEJA 5;P. MANT.
976;Chacra Vieja5 2;Chacra Vieja 5 2;Chacra Vieja;5;2;Vieja;3,4;CHACRA VIEJA 1;P. IMPLAN.
977;Chacra Vieja5 3;Chacra Vieja 5 3;Chacra Vieja;5;3;Vieja;1,2;CHACRA VIEJA 5;P. MANT.
978;Chacra Vieja5 4;Chacra Vieja 5 4;Chacra Vieja;5;4;Vieja;4;CHACRA VIEJA 1;P. IMPLAN.
979;Chacra Vieja5 5;Chacra Vieja 5 5;Chacra Vieja;5;5;Vieja;1,2;CHACRA VIEJA 5;P. MANT.
980;Chacra Vieja5 6;Chacra Vieja 5 6;Chacra Vieja;5;6;Vieja;4;CHACRA VIEJA 1;P. IMPLAN.
981;Chacra Vieja5 7;Chacra Vieja 5 7;Chacra Vieja;5;7;Vieja;1,2;CHACRA VIEJA 5;P. MANT.
982;Chacra Vieja5 8;Chacra Vieja 5 8;Chacra Vieja;5;8;Vieja;3,8;CHACRA VIEJA 1;P. IMPLAN.
983;Chacra Vieja5 9;Chacra Vieja 5 9;Chacra Vieja;5;9;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
984;Chacra Vieja5 10;Chacra Vieja 5 10;Chacra Vieja;5;10;Vieja;3,9;CHACRA VIEJA 1;P. IMPLAN.
985;Chacra Vieja5 11;Chacra Vieja 5 11;Chacra Vieja;5;11;Vieja;1,2;CHACRA VIEJA 5;P. MANT.
986;Chacra Vieja5 12;Chacra Vieja 5 12;Chacra Vieja;5;12;Vieja;3,9;CHACRA VIEJA 1;P. IMPLAN.
987;Chacra Vieja5 13;Chacra Vieja 5 13;Chacra Vieja;5;13;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
988;Chacra Vieja5 14;Chacra Vieja 5 14;Chacra Vieja;5;14;Vieja;3,8;CHACRA VIEJA 1;P. IMPLAN.
989;Chacra Vieja5 15;Chacra Vieja 5 15;Chacra Vieja;5;15;Vieja;1,2;CHACRA VIEJA 5;P. MANT.
990;Chacra Vieja5 16;Chacra Vieja 5 16;Chacra Vieja;5;16;Vieja;4;CHACRA VIEJA 1;P. IMPLAN.
991;Chacra Vieja5 17;Chacra Vieja 5 17;Chacra Vieja;5;17;Vieja;1,1;CHACRA VIEJA 5;P. MANT.
992;Chacra Vieja5 18;Chacra Vieja 5 18;Chacra Vieja;5;18;Vieja;4;CHACRA VIEJA 1;P. IMPLAN.
993;Chacra Vieja5 19;Chacra Vieja 5 19;Chacra Vieja;5;19;Vieja;1;CHACRA VIEJA 5;P. MANT.
994;Chacra Vieja5 20;Chacra Vieja 5 20;Chacra Vieja;5;20;Vieja;3,6;CHACRA VIEJA 1;P. IMPLAN.
995;Chacra Vieja5 21;Chacra Vieja 5 21;Chacra Vieja;5;21;Vieja;3,7;CHACRA VIEJA 1;P. IMPLAN.
996;Chacra Vieja5 22;Chacra Vieja 5 22;Chacra Vieja;5;22;Vieja;3,9;CHACRA VIEJA 1;P. IMPLAN.
997;Chacra Vieja5 23;Chacra Vieja 5 23;Chacra Vieja;5;23;Vieja;3,6;CHACRA VIEJA 1;P. IMPLAN.
998;Chacra Vieja5 24;Chacra Vieja 5 24;Chacra Vieja;5;24;Vieja;3,7;CHACRA VIEJA 2;P. MANT.
999;Chacra Vieja5 25;Chacra Vieja 5 25;Chacra Vieja;5;25;Vieja;3,6;CHACRA VIEJA 1;P. IMPLAN.
1000;Chacra Vieja5 26;Chacra Vieja 5 26;Chacra Vieja;5;26;Vieja;3,8;CHACRA VIEJA 2;P. MANT.
1001;Chacra Vieja5 27;Chacra Vieja 5 27;Chacra Vieja;5;27;Vieja;3,7;CHACRA VIEJA 1;P. IMPLAN.
1002;Chacra Vieja5 28;Chacra Vieja 5 28;Chacra Vieja;5;28;Vieja;3,8;CHACRA VIEJA 2;P. MANT.
1003;Chacra Vieja5 29;Chacra Vieja 5 29;Chacra Vieja;5;29;Vieja;3,6;CHACRA VIEJA 1;P. IMPLAN.
1004;Chacra Vieja5 30;Chacra Vieja 5 30;Chacra Vieja;5;30;Vieja;3,9;CHACRA VIEJA 2;P. MANT.
1005;Chacra Vieja5 31;Chacra Vieja 5 31;Chacra Vieja;5;31;Vieja;3,6;CHACRA VIEJA 1;P. IMPLAN.
1006;Chacra Vieja5 32;Chacra Vieja 5 32;Chacra Vieja;5;32;Vieja;3,7;CHACRA VIEJA 2;P. MANT.
1007;Chacra Vieja5 33;Chacra Vieja 5 33;Chacra Vieja;5;33;Vieja;3,7;CHACRA VIEJA 1;P. IMPLAN.
1008;Chacra Vieja5 34;Chacra Vieja 5 34;Chacra Vieja;5;34;Vieja;3,8;CHACRA VIEJA 2;P. MANT.
1009;Chacra Vieja5 35;Chacra Vieja 5 35;Chacra Vieja;5;35;Vieja;3,5;CHACRA VIEJA 1;P. IMPLAN.
1010;Chacra Vieja5 36;Chacra Vieja 5 36;Chacra Vieja;5;36;Vieja;3,6;CHACRA VIEJA 2;P. MANT.
1011;Chacra Vieja5 37;Chacra Vieja 5 37;Chacra Vieja;5;37;Vieja;3,6;CHACRA VIEJA 1;P. IMPLAN.
1012;Chacra Vieja5 38;Chacra Vieja 5 38;Chacra Vieja;5;38;Vieja;3,7;CHACRA VIEJA 2;P. MANT.
1013;Chacra Vieja5 39;Chacra Vieja 5 39;Chacra Vieja;5;39;Vieja;3,4;CHACRA VIEJA 1;P. IMPLAN.
1014;Chacra Vieja5 40;Chacra Vieja 5 40;Chacra Vieja;5;40;Vieja;3,5;CHACRA VIEJA 2;P. MANT.
