i;ID_QR;ID_xls;CHACRA_ID_QR;CANAL;LOTE;CHACRA;SUPERFICIE;ID_CAMPAÑA;ACTIVIDAD
789;Chacra Nueva2 7;Nueva 2 7;Chacra Nueva;2;7;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
790;Chacra Nueva2 8;Nueva 2 8;Chacra Nueva;2;8;Nueva;2,1;CHACRA NUEVA 1;MAIZ
791;Chacra Nueva2 9;Nueva 2 9;Chacra Nueva;2;9;Nueva;2,4;CHACRA NUEVA 5;P. MANT.
792;Chacra Nueva2 10;Nueva 2 10;Chacra Nueva;2;10;Nueva;2,2;CHACRA NUEVA 1;MAIZ
793;Chacra Nueva2 11;Nueva 2 11;Chacra Nueva;2;11;Nueva;2,4;CHACRA NUEVA 5;P. MANT.
794;Chacra Nueva2 12;Nueva 2 12;Chacra Nueva;2;12;Nueva;2,2;CHACRA NUEVA 1;MAIZ
795;Chacra Nueva2 13;Nueva 2 13;Chacra Nueva;2;13;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
796;Chacra Nueva2 14;Nueva 2 14;Chacra Nueva;2;14;Nueva;2,1;CHACRA NUEVA 1;MAIZ
797;Chacra Nueva2 15;Nueva 2 15;Chacra Nueva;2;15;Nueva;2,7;CHACRA NUEVA 5;P. MANT.
798;Chacra Nueva2 16;Nueva 2 16;Chacra Nueva;2;16;Nueva;2,1;CHACRA NUEVA 1;MAIZ
799;Chacra Nueva2 17;;Chacra Nueva;2;17;Nueva;#N/D;;#N/D
800;Chacra Nueva2 18;Nueva 2 18;Chacra Nueva;2;18;Nueva;2,1;CHACRA NUEVA 1;MAIZ
801;Chacra Nueva2 20;Nueva 2 20;Chacra Nueva;2;20;Nueva;2,1;CHACRA NUEVA 1;MAIZ
802;Chacra Nueva3 1;Nueva 3 1;Chacra Nueva;3;1;Nueva;2,7;CHACRA NUEVA 2;P. IMPLAN.
803;Chacra Nueva3 2;Nueva 3 2;Chacra Nueva;3;2;Nueva;3,3;CHACRA NUEVA 5;P. MANT.
804;Chacra Nueva3 3;Nueva 3 3;Chacra Nueva;3;3;Nueva;3,2;CHACRA NUEVA 2;P. IMPLAN.
805;Chacra Nueva3 4;Nueva 3 4;Chacra Nueva;3;4;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
806;Chacra Nueva3 5;Nueva 3 5;Chacra Nueva;3;5;Nueva;1,4;CHACRA NUEVA 5;P. MANT.
807;Chacra Nueva3 6;Nueva 3 6;Chacra Nueva;3;6;Nueva;2,6;CHACRA NUEVA 5;P. MANT.
808;Chacra Nueva3 7;Nueva 3 7;Chacra Nueva;3;7;Nueva;2,3;CHACRA NUEVA 5;P. MANT.
809;Chacra Nueva3 8;Nueva 3 8;Chacra Nueva;3;8;Nueva;2,6;CHACRA NUEVA 5;P. MANT.
810;Chacra Nueva3 9;Nueva 3 9;Chacra Nueva;3;9;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
811;Chacra Nueva3 10;Nueva 3 10;Chacra Nueva;3;10;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
812;Chacra Nueva3 11;Nueva 3 11;Chacra Nueva;3;11;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
813;Chacra Nueva3 12;Nueva 3 12;Chacra Nueva;3;12;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
814;Chacra Nueva3 13;Nueva 3 13;Chacra Nueva;3;13;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
815;Chacra Nueva3 14;Nueva 3 14;Chacra Nueva;3;14;Nueva;3;CHACRA NUEVA 5;P. MANT.
816;Chacra Nueva3 15;Nueva 3 15;Chacra Nueva;3;15;Nueva;2,4;CHACRA NUEVA 5;P. MANT.
817;Chacra Nueva3 17;Nueva 3 17;Chacra Nueva;3;17;Nueva;2,4;CHACRA NUEVA 5;P. MANT.
818;Chacra Nueva3 19;Nueva 3 19;Chacra Nueva;3;19;Nueva;2,9;CHACRA NUEVA 5;P. MANT.
819;Chacra Nueva4 1;Nueva 4 1;Chacra Nueva;4;1;Nueva;2,1;CHACRA NUEVA 2;P. IMPLAN.
820;Chacra Nueva4 2;Nueva 4 2;Chacra Nueva;4;2;Nueva;3,5;CHACRA NUEVA 2;P. IMPLAN.
821;Chacra Nueva4 3;Nueva 4 3;Chacra Nueva;4;3;Nueva;2,9;CHACRA NUEVA 3;MAIZ
822;Chacra Nueva4 4;Nueva 4 4;Chacra Nueva;4;4;Nueva;2,2;CHACRA NUEVA 5;P. MANT.
823;Chacra Nueva4 5;Nueva 4 5;Chacra Nueva;4;5;Nueva;2,4;CHACRA NUEVA 3;MAIZ
824;Chacra Nueva4 6;Nueva 4 6;Chacra Nueva;4;6;Nueva;2,4;CHACRA NUEVA 5;P. MANT.
825;Chacra Nueva4 7;Nueva 4 7;Chacra Nueva;4;7;Nueva;2,6;CHACRA NUEVA 3;MAIZ
826;Chacra Nueva4 8;Nueva 4 8;Chacra Nueva;4;8;Nueva;2,6;CHACRA NUEVA 5;P. MANT.
827;Chacra Nueva4 9;Nueva 4 9;Chacra Nueva;4;9;Nueva;2,6;CHACRA NUEVA 3;MAIZ
828;Chacra Nueva4 10;Nueva 4 10;Chacra Nueva;4;10;Nueva;2,6;CHACRA NUEVA 5;P. MANT.
829;Chacra Nueva4 11;Nueva 4 11;Chacra Nueva;4;11;Nueva;2,5;CHACRA NUEVA 3;MAIZ
830;Chacra Nueva4 12;Nueva 4 12;Chacra Nueva;4;12;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
831;Chacra Nueva4 13;Nueva 4 13;Chacra Nueva;4;13;Nueva;2,6;CHACRA NUEVA 3;MAIZ
832;Chacra Nueva4 14;Nueva 4 14;Chacra Nueva;4;14;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
833;Chacra Nueva4 15;Nueva 4 15;Chacra Nueva;4;15;Nueva;2,6;CHACRA NUEVA 3;MAIZ
834;Chacra Nueva4 16;Nueva 4 16;Chacra Nueva;4;16;Nueva;2,5;CHACRA NUEVA 5;P. MANT.
835;Chacra Nueva4 17;Nueva 4 17;Chacra Nueva;4;17;Nueva;2,8;CHACRA NUEVA 3;MAIZ
836;Chacra Nueva4 18;Nueva 4 18;Chacra Nueva;4;18;Nueva;2,9;CHACRA NUEVA 5;P. MANT.
837;Chacra Nueva5 1;Nueva 5 1;Chacra Nueva;5;1;Nueva;1,3;CHACRA NUEVA 2;P. IMPLAN.
838;Chacra Nueva5 2;Nueva 5 2;Chacra Nueva;5;2;Nueva;2,2;CHACRA NUEVA 3;MAIZ
839;Chacra Nueva5 3;Nueva 5 3;Chacra Nueva;5;3;Nueva;1,6;CHACRA NUEVA 2;P. IMPLAN.
840;Chacra Nueva5 4;Nueva 5 4;Chacra Nueva;5;4;Nueva;2,1;CHACRA NUEVA 3;MAIZ
841;Chacra Nueva5 5;Nueva 5 5;Chacra Nueva;5;5;Nueva;1,8;CHACRA NUEVA 2;P. IMPLAN.
842;Chacra Nueva5 6;Nueva 5 6;Chacra Nueva;5;6;Nueva;2,4;CHACRA NUEVA 3;MAIZ
843;Chacra Nueva5 7;Nueva 5 7;Chacra Nueva;5;7;Nueva;1,7;CHACRA NUEVA 2;P. IMPLAN.
844;Chacra Nueva5 8;Nueva 5 8;Chacra Nueva;5;8;Nueva;2,4;CHACRA NUEVA 3;MAIZ
845;Chacra Nueva5 9;Nueva 5 9;Chacra Nueva;5;9;Nueva;2,1;CHACRA NUEVA 2;P. IMPLAN.
846;Chacra Nueva5 10;Nueva 5 10;Chacra Nueva;5;10;Nueva;2,2;CHACRA NUEVA 3;MAIZ
847;Chacra Nueva5 11;Nueva 5 11;Chacra Nueva;5;11;Nueva;2,2;CHACRA NUEVA 2;P. IMPLAN.
848;Chacra Nueva5 12;Nueva 5 12;Chacra Nueva;5;12;Nueva;2,4;CHACRA NUEVA 3;MAIZ
849;Chacra Nueva5 13;Nueva 5 13;Chacra Nueva;5;13;Nueva;2,4;CHACRA NUEVA 2;P. IMPLAN.
850;Chacra Nueva5 14;Nueva 5 14;Chacra Nueva;5;14;Nueva;2,5;CHACRA NUEVA 3;MAIZ
851;Chacra Nueva5 16;Nueva 5 16;Chacra Nueva;5;16;Nueva;2,6;CHACRA NUEVA 3;MAIZ
852;Chacra Vieja1 1;Chacra Vieja 1 1;Chacra Vieja;1;1;Vieja;1;CHACRA VIEJA 4;P. MANT.
853;Chacra Vieja1 2;Chacra Vieja 1 2;Chacra Vieja;1;2;Vieja;1;CHACRA VIEJA 4;P. MANT.
854;Chacra Vieja1 3;Chacra Vieja 1 3;Chacra Vieja;1;3;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
855;Chacra Vieja1 4;Chacra Vieja 1 4;Chacra Vieja;1;4;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
856;Chacra Vieja1 5;Chacra Vieja 1 5;Chacra Vieja;1;5;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
857;Chacra Vieja1 6;Chacra Vieja 1 6;Chacra Vieja;1;6;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
858;Chacra Vieja1 7;Chacra Vieja 1 7;Chacra Vieja;1;7;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
859;Chacra Vieja1 8;Chacra Vieja 1 8;Chacra Vieja;1;8;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
860;Chacra Vieja1 9;Chacra Vieja 1 9;Chacra Vieja;1;9;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
861;Chacra Vieja1 10;Chacra Vieja 1 10;Chacra Vieja;1;10;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
862;Chacra Vieja1 11;Chacra Vieja 1 11;Chacra Vieja;1;11;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
863;Chacra Vieja1 12;Chacra Vieja 1 12;Chacra Vieja;1;12;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
864;Chacra Vieja1 13;Chacra Vieja 1 13;Chacra Vieja;1;13;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
865;Chacra Vieja1 14;Chacra Vieja 1 14;Chacra Vieja;1;14;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
866;Chacra Vieja1 15;Chacra Vieja 1 15;Chacra Vieja;1;15;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
867;Chacra Vieja1 16;Chacra Vieja 1 16;Chacra Vieja;1;16;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
868;Chacra Vieja1 17;Chacra Vieja 1 17;Chacra Vieja;1;17;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
869;Chacra Vieja1 18;Chacra Vieja 1 18;Chacra Vieja;1;18;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
870;Chacra Vieja1 19;Chacra Vieja 1 19;Chacra Vieja;1;19;Vieja;1,1;CHACRA VIEJA 4;P. MANT.
871;Chacra Vieja1 20;Chacra Vieja 1 20;Chacra Vieja;1;20;Vieja;1,2;CHACRA VIEJA 4;P. MANT.
